id,role_label,experience_years,education_level,degree,skills,certifications,projects_summary,professional_summary,source
RES-0957,Mobile Developer,4,Ph.D.,B.E. Software Engineering,App Store Deployment|Firebase|Dart|Java|React Native|Play Store Deployment|Xcode|Android|GraphQL|iOS|Unit Testing|Fastlane|Performance Profiling|Crashlytics|Analytics|Bluetooth,,Shipped iOS and Android apps with 25k+ downloads in first month. // Achieved 29% reduction in app cold-start time through performance profiling.,"Mobile developer with 4 years building cross-platform and native apps using Crashlytics, App Store Deployment, GraphQL.",public_profile_anonymized
RES-0355,Frontend Developer,11,Bachelor's,B.Sc. Computer Science,React|TypeScript|HTML5|Redux|GraphQL|CSS3|Zustand|Cross-browser Compatibility|Accessibility|SASS|TailwindCSS|JavaScript|Chart.js|CI/CD|Storybook|Git|Performance Optimisation,Meta Front-End Developer,"Rebuilt company dashboard in Zustand, improving load time by 26%.","Passionate frontend engineer with 11 years of hands-on experience in CI/CD, JavaScript, Chart.js.",synthetic
RES-0344,Frontend Developer,8,Bootcamp/Certification,B.Tech Information Technology,SASS|CSS3|Vite|GraphQL|HTML5|Adobe XD|Chart.js,,"Reduced bundle size by 51% through code splitting and lazy loading. // Rebuilt company dashboard in React, improving load time by 52%.","Frontend developer with 8 years building responsive, accessible UIs with Adobe XD, Vite, GraphQL.",synthetic
RES-0817,DevOps Engineer,7,Master's,M.Sc. Cloud Computing,Helm|GCP|GitHub Actions|Monitoring|CI/CD|Infrastructure as Code|AWS|Terraform|Jenkins|Site Reliability Engineering|Vault|HAProxy,AWS DevOps Engineer Professional|Google Professional DevOps Engineer,Improved system uptime to 99.73% SLA through improved monitoring and alerting. // Achieved 52% cost reduction by right-sizing cloud infrastructure on Docker.,"Reliability-focused DevOps professional with 7+ years of experience in GitHub Actions, Infrastructure as Code, Vault.",synthetic
RES-0728,DevOps Engineer,10,Master's,B.Tech Computer Engineering,Site Reliability Engineering|GCP|CI/CD|Grafana|Python|Terraform|Kubernetes|Monitoring|Jenkins|Bash|Helm|Infrastructure as Code|ArgoCD|ELK Stack|Istio|Vagrant,Google Professional DevOps Engineer,Reduced deployment lead time from 20 days to 7 hours by redesigning CI/CD pipeline. // Improved system uptime to 99.72% SLA through improved monitoring and alerting. // Achieved 23% cost reduction by right-sizing cloud infrastructure on Helm.,"DevOps engineer with 10 years automating infrastructure and improving deployment pipelines using Kubernetes, Monitoring, Helm.",synthetic
RES-0190,Backend Developer,10,Master's,B.Tech Information Technology,SQL|Kubernetes|AWS|Message Queues|Java|Ruby|gRPC|Azure|Microservices|REST API|Terraform|Apache Kafka|OAuth2,,"Led migration of monolith to microservices, reducing deployment time by 28%. // Led migration of monolith to microservices, reducing deployment time by 41%. // Designed and maintained a high-throughput REST API serving 3k requests/day.","Results-driven backend developer with 10+ years designing and maintaining distributed systems in OAuth2, Ruby, Azure.",public_profile_anonymized
RES-0642,Data Scientist,2,Master's,Ph.D. Computer Science,Seaborn|Pandas|A/B Testing|Scikit-learn|SQL|NumPy|TensorFlow|Feature Engineering|Docker|Hadoop|Power BI|Bayesian Statistics|Experiment Tracking,IBM Data Science Professional|Google Professional Data Engineer,"Built a churn prediction model with 19% accuracy, saving 19k ARR. // Published research on PyTorch applied to time-series forecasting. // Developed a recommendation engine improving click-through rate by 33%.","Data scientist with 2 years transforming raw data into actionable insights using Experiment Tracking, Feature Engineering, A/B Testing.",synthetic
RES-0604,Data Scientist,6,Bootcamp/Certification,B.Sc. Mathematics,A/B Testing|Data Visualisation|Deep Learning|NumPy|Python|Machine Learning|R|Feature Engineering|PyTorch|SQL|AWS SageMaker|Tableau|Model Deployment|Power BI,IBM Data Science Professional|Databricks Certified Associate,Published research on Feature Engineering applied to time-series forecasting. // Published research on Feature Engineering applied to time-series forecasting. // Automated ETL pipelines reducing manual data preparation by 31%.,"Data scientist with 6 years transforming raw data into actionable insights using SQL, Data Visualisation, Power BI.",synthetic
RES-0862,Cloud Architect,4,Bachelor's,M.Sc. Cloud Computing,Cost Optimisation|Lambda|Load Balancing|Auto Scaling|GCP|Azure|High Availability|IAM|VPC|CDK|Helm|Solution Design|FinOps|Pulumi|ArgoCD,TOGAF 9|Azure Solutions Architect Expert,"Designed a multi-region, active-active architecture with 99.96% availability SLA. // Designed a multi-region, active-active architecture with 99.93% availability SLA. // Established cloud governance framework adopted across 48 business units.","Cloud architect with 4 years designing resilient, scalable cloud platforms on CDK, IAM, High Availability.",synthetic
RES-0589,Data Scientist,6,Associate's,M.Sc. Data Science,Natural Language Processing|Feature Engineering|R|A/B Testing|TensorFlow|PyTorch|Seaborn|Pandas|Hypothesis Testing|Power BI|Azure ML|Git|Bayesian Statistics,Databricks Certified Associate|AWS Machine Learning Specialty,"Published research on Jupyter applied to time-series forecasting. // Developed a recommendation engine improving click-through rate by 39%. // Built a churn prediction model with 59% accuracy, saving 41k ARR.","Analytical data scientist with 6+ years of experience in Pandas, A/B Testing, Power BI and statistical modelling.",synthetic
